,NumberSourcesLeaking,LeakPointId,Latitude,Longitude,EmissionCategory,Duration,LeakRate,BFT,tStart,tEnd
0,2,4T-31,40.59583,-105.139824,Fugitive,900,36.63627,ReferenceMeteredEvent,1681776035,1681776935
1,2,5S-26,40.595924,-105.13939,Fugitive,900,64.621765,ReferenceMeteredEvent,1681776035,1681776935
2,2,4W-27,40.595936,-105.14027,Fugitive,2700,55.385376,ReferenceMeteredEvent,1681776935,1681779635
3,2,4S-43,40.595642,-105.14035,Fugitive,2700,24.345577,ReferenceMeteredEvent,1681776935,1681779635
4,2,4T-31,40.59583,-105.139824,Fugitive,1800,36.63627,ReferenceMeteredEvent,1681776935,1681778735
5,2,5S-26,40.595924,-105.13939,Fugitive,1800,64.621765,ReferenceMeteredEvent,1681776935,1681778735
6,2,4T-31,40.59583,-105.139824,Fugitive,900,36.63627,ReferenceMeteredEvent,1681778735,1681779635
7,2,5S-26,40.595924,-105.13939,Fugitive,900,64.621765,ReferenceMeteredEvent,1681778735,1681779635
8,2,4W-27,40.595936,-105.14027,Fugitive,2700,55.385376,ReferenceMeteredEvent,1681779635,1681782335
9,2,4S-43,40.595642,-105.14035,Fugitive,2700,24.345577,ReferenceMeteredEvent,1681779635,1681782335
10,2,4T-31,40.59583,-105.139824,Fugitive,4500,36.63627,ReferenceMeteredEvent,1681779635,1681784135
11,2,5S-26,40.595924,-105.13939,Fugitive,4500,64.621765,ReferenceMeteredEvent,1681779635,1681784135
12,2,4W-27,40.595936,-105.14027,Fugitive,2700,55.385376,ReferenceMeteredEvent,1681782335,1681785035
13,2,4S-43,40.595642,-105.14035,Fugitive,2700,24.345577,ReferenceMeteredEvent,1681782335,1681785035
14,2,4T-31,40.59583,-105.139824,Fugitive,901,36.63627,ReferenceMeteredEvent,1681784135,1681785036
15,2,5S-26,40.595924,-105.13939,Fugitive,901,64.621765,ReferenceMeteredEvent,1681784135,1681785036
16,0,0,0.0,0.0,None,10804,0.0,ZeroEmissionEvent,1681785035,1681795839
17,0,0,0.0,0.0,None,10803,0.0,ZeroEmissionEvent,1681785036,1681795839
18,1,4S-21,40.595665,-105.14027,Pre Test,180,34.454098,CurrentMeteredEvent,1681795839,1681796019
19,1,4T-11,40.59575,-105.13989,Pre Test,180,69.05279,CurrentMeteredEvent,1681795839,1681796019
20,0,0,0.0,0.0,None,60,0.0,ZeroEmissionEvent,1681796019,1681796079
21,0,0,0.0,0.0,None,480,0.0,ZeroEmissionEvent,1681796019,1681796499
22,1,5S-32,40.595943,-105.13943,Pre Test,179,56.364502,CurrentMeteredEvent,1681796079,1681796258
23,0,0,0.0,0.0,None,60,0.0,ZeroEmissionEvent,1681796258,1681796318
24,1,5W-13,40.595615,-105.13942,Pre Test,180,98.83237,CurrentMeteredEvent,1681796318,1681796498
25,3,4T-11,40.59575,-105.13989,Fugitive,2700,69.05279,ReferenceMeteredEvent,1681796498,1681799198
26,3,5W-13,40.595615,-105.13942,Fugitive,2700,98.83237,ReferenceMeteredEvent,1681796498,1681799198
27,3,5S-32,40.595943,-105.13943,Fugitive,2700,56.364502,ReferenceMeteredEvent,1681796498,1681799198
28,1,4S-21,40.595665,-105.14027,Fugitive,899,34.23236,CurrentMeteredEvent,1681796499,1681797398
29,1,4S-21,40.595665,-105.14027,Fugitive,2700,34.41489,CurrentMeteredEvent,1681797398,1681800098
30,3,4T-11,40.59575,-105.13989,Fugitive,901,69.05279,ReferenceMeteredEvent,1681799198,1681800099
31,3,5W-13,40.595615,-105.13942,Fugitive,901,98.83237,ReferenceMeteredEvent,1681799198,1681800099
32,3,5S-32,40.595943,-105.13943,Fugitive,901,56.364502,ReferenceMeteredEvent,1681799198,1681800099
33,1,4S-21,40.595665,-105.14027,Fugitive,1800,34.53511,CurrentMeteredEvent,1681800098,1681801898
34,3,4T-11,40.59575,-105.13989,Fugitive,899,69.05279,ReferenceMeteredEvent,1681800099,1681800998
35,3,5W-13,40.595615,-105.13942,Fugitive,899,98.83237,ReferenceMeteredEvent,1681800099,1681800998
36,3,5S-32,40.595943,-105.13943,Fugitive,899,56.364502,ReferenceMeteredEvent,1681800099,1681800998
37,3,4T-11,40.59575,-105.13989,Fugitive,901,69.05279,ReferenceMeteredEvent,1681800998,1681801899
38,3,5W-13,40.595615,-105.13942,Fugitive,901,98.83237,ReferenceMeteredEvent,1681800998,1681801899
39,3,5S-32,40.595943,-105.13943,Fugitive,901,56.364502,ReferenceMeteredEvent,1681800998,1681801899
40,1,4S-21,40.595665,-105.14027,Fugitive,900,34.599392,CurrentMeteredEvent,1681801898,1681802798
41,3,4T-11,40.59575,-105.13989,Fugitive,900,69.05279,ReferenceMeteredEvent,1681801899,1681802799
42,3,5W-13,40.595615,-105.13942,Fugitive,900,98.83237,ReferenceMeteredEvent,1681801899,1681802799
43,3,5S-32,40.595943,-105.13943,Fugitive,900,56.364502,ReferenceMeteredEvent,1681801899,1681802799
44,1,4S-21,40.595665,-105.14027,Fugitive,901,34.575108,CurrentMeteredEvent,1681802798,1681803699
45,3,4T-11,40.59575,-105.13989,Fugitive,900,69.05279,ReferenceMeteredEvent,1681802799,1681803699
46,3,5W-13,40.595615,-105.13942,Fugitive,900,98.83237,ReferenceMeteredEvent,1681802799,1681803699
47,3,5S-32,40.595943,-105.13943,Fugitive,900,56.364502,ReferenceMeteredEvent,1681802799,1681803699
48,0,0,0.0,0.0,None,1101,0.0,ZeroEmissionEvent,1681803699,1681804800
49,0,0,0.0,0.0,None,1101,0.0,ZeroEmissionEvent,1681803699,1681804800
50,0,0,0.0,0.0,None,30520,0.0,ZeroEmissionEvent,1681804800,1681835320
51,0,0,0.0,0.0,None,30520,0.0,ZeroEmissionEvent,1681804800,1681835320
52,1,4S-43,40.595642,-105.14035,Pre Test,180,24.248856,CurrentMeteredEvent,1681835320,1681835500
53,1,4T-31,40.59583,-105.139824,Pre Test,179,36.717514,CurrentMeteredEvent,1681835320,1681835499
54,0,0,0.0,0.0,None,61,0.0,ZeroEmissionEvent,1681835499,1681835560
55,0,0,0.0,0.0,None,60,0.0,ZeroEmissionEvent,1681835500,1681835560
56,1,4W-27,40.595936,-105.14027,Pre Test,180,55.192505,CurrentMeteredEvent,1681835560,1681835740
57,1,5S-26,40.595924,-105.13939,Pre Test,180,65.48545,CurrentMeteredEvent,1681835560,1681835740
58,2,4W-27,40.595936,-105.14027,Fugitive,1800,55.192505,ReferenceMeteredEvent,1681835740,1681837540
59,2,4S-43,40.595642,-105.14035,Fugitive,1800,24.248856,ReferenceMeteredEvent,1681835740,1681837540
60,2,4T-31,40.59583,-105.139824,Fugitive,899,36.717514,ReferenceMeteredEvent,1681835740,1681836639
61,2,5S-26,40.595924,-105.13939,Fugitive,899,65.48545,ReferenceMeteredEvent,1681835740,1681836639
62,2,4T-31,40.59583,-105.139824,Fugitive,900,36.717514,ReferenceMeteredEvent,1681836639,1681837539
63,2,5S-26,40.595924,-105.13939,Fugitive,900,65.48545,ReferenceMeteredEvent,1681836639,1681837539
64,2,4T-31,40.59583,-105.139824,Fugitive,901,36.717514,ReferenceMeteredEvent,1681837539,1681838440
65,2,5S-26,40.595924,-105.13939,Fugitive,901,65.48545,ReferenceMeteredEvent,1681837539,1681838440
66,2,4W-27,40.595936,-105.14027,Fugitive,7200,55.192505,ReferenceMeteredEvent,1681837540,1681844740
67,2,4S-43,40.595642,-105.14035,Fugitive,7200,24.248856,ReferenceMeteredEvent,1681837540,1681844740
68,2,4T-31,40.59583,-105.139824,Fugitive,899,36.717514,ReferenceMeteredEvent,1681838440,1681839339
69,2,5S-26,40.595924,-105.13939,Fugitive,899,65.48545,ReferenceMeteredEvent,1681838440,1681839339
70,2,4T-31,40.59583,-105.139824,Fugitive,1800,36.717514,ReferenceMeteredEvent,1681839339,1681841139
71,2,5S-26,40.595924,-105.13939,Fugitive,1800,65.48545,ReferenceMeteredEvent,1681839339,1681841139
72,2,4T-31,40.59583,-105.139824,Fugitive,900,36.717514,ReferenceMeteredEvent,1681841139,1681842039
73,2,5S-26,40.595924,-105.13939,Fugitive,900,65.48545,ReferenceMeteredEvent,1681841139,1681842039
74,2,4T-31,40.59583,-105.139824,Fugitive,2701,36.717514,ReferenceMeteredEvent,1681842039,1681844740
75,2,5S-26,40.595924,-105.13939,Fugitive,2701,65.48545,ReferenceMeteredEvent,1681842039,1681844740
76,0,0,0.0,0.0,None,7227,0.0,ZeroEmissionEvent,1681844740,1681851967
77,0,0,0.0,0.0,None,7227,0.0,ZeroEmissionEvent,1681844740,1681851967
78,1,4S-43,40.595642,-105.14035,Pre Test,180,24.41452,CurrentMeteredEvent,1681851967,1681852147
79,1,4T-31,40.59583,-105.139824,Pre Test,180,36.469128,CurrentMeteredEvent,1681851967,1681852147
80,0,0,0.0,0.0,None,61,0.0,ZeroEmissionEvent,1681852147,1681852208
81,0,0,0.0,0.0,None,60,0.0,ZeroEmissionEvent,1681852147,1681852207
82,1,5S-26,40.595924,-105.13939,Pre Test,105,62.45852,CurrentMeteredEvent,1681852207,1681852312
83,1,4W-27,40.595936,-105.14027,Pre Test,104,56.27126,CurrentMeteredEvent,1681852208,1681852312
84,0,0,0.0,0.0,None,66,0.0,ZeroEmissionEvent,1681852312,1681852378
85,0,0,0.0,0.0,None,66,0.0,ZeroEmissionEvent,1681852312,1681852378
86,1,4S-21,40.595665,-105.14027,Pre Test,180,33.233807,CurrentMeteredEvent,1681852378,1681852558
87,1,4T-11,40.59575,-105.13989,Pre Test,181,65.2169,CurrentMeteredEvent,1681852378,1681852559
88,0,0,0.0,0.0,None,59,0.0,ZeroEmissionEvent,1681852559,1681852618
89,0,0,0.0,0.0,None,481,0.0,ZeroEmissionEvent,1681852558,1681853039
90,1,5S-32,40.595943,-105.13943,Pre Test,180,54.017662,CurrentMeteredEvent,1681852618,1681852798
91,0,0,0.0,0.0,None,60,0.0,ZeroEmissionEvent,1681852798,1681852858
92,1,5W-13,40.595615,-105.13942,Pre Test,142,85.664505,CurrentMeteredEvent,1681852858,1681853000
93,0,0,0.0,0.0,None,39,0.0,ZeroEmissionEvent,1681853000,1681853039
94,1,4S-21,40.595665,-105.14027,Fugitive,899,33.10873,CurrentMeteredEvent,1681853039,1681853938
95,3,4T-11,40.59575,-105.13989,Fugitive,899,65.2169,ReferenceMeteredEvent,1681853039,1681853938
96,3,5W-13,40.595615,-105.13942,Fugitive,899,85.664505,ReferenceMeteredEvent,1681853039,1681853938
97,3,5S-32,40.595943,-105.13943,Fugitive,899,54.017662,ReferenceMeteredEvent,1681853039,1681853938
